user_id,purchase_amount,user_monthly_spend,category_average_purchase,purchase_count_last_30_days,days_since_last_purchase,amount_to_monthly_spend_ratio,amount_to_category_average_ratio,is_anomaly
U0213,3080.58,52734.36,4573.46,13,17,0.0584,0.6736,0
U0084,987.59,89174.57,8952.92,9,2,0.0111,0.1103,0
U0032,330.27,43215.06,8998.68,11,17,0.0076,0.0367,0
U0185,958.73,85170.26,9760.96,16,10,0.0113,0.0982,0
U0115,2336.32,81741.39,10744.98,11,3,0.0286,0.2174,0
U0178,3058.27,68178.42,4606.05,6,11,0.0449,0.664,0
U0037,470.77,45704.27,6866.08,9,9,0.0103,0.0686,0
U0175,662.01,24068.81,3144.61,13,17,0.0275,0.2105,0
U0092,1680.88,40994.04,2223.68,9,11,0.041,0.7559,0
U0068,752.53,79362.83,5046.99,8,3,0.0095,0.1491,0
U0245,3039.48,9144.35,6112.16,9,13,0.3324,0.4973,0
U0204,1277.24,84476.83,3773.74,11,0,0.0151,0.3385,0
U0096,470.75,69533.69,9129.21,10,14,0.0068,0.0516,0
U0002,393.01,89182.78,3891.99,6,19,0.0044,0.101,0
U0199,1275.4,42213.28,8906.74,12,1,0.0302,0.1432,0
U0043,629.26,29191.45,10581.72,11,15,0.0216,0.0595,0
U0178,1740.55,89279.65,6659.11,6,2,0.0195,0.2614,0
U0027,460.66,11232.31,8940.84,8,5,0.041,0.0515,0
U0105,1025.54,66721.91,8649.11,14,12,0.0154,0.1186,0
U0237,1978.6,16096.71,3669.44,9,14,0.1229,0.5392,0
U0103,2739.76,71630.77,6230.53,12,10,0.0382,0.4397,0
U0219,1111.9,55040.01,11309.1,11,8,0.0202,0.0983,0
U0147,775.74,69153.7,9401.7,15,12,0.0112,0.0825,0
U0018,1305.61,62393.56,4831.19,13,4,0.0209,0.2702,0
U0047,2530.24,44288.23,7321.97,10,15,0.0571,0.3456,0
U0135,1082.7,65176.02,11531.3,11,1,0.0166,0.0939,0
U0013,3458.37,55829.75,10707.36,4,8,0.0619,0.323,0
U0198,992.01,28814.8,4617.71,11,2,0.0344,0.2148,0
U0178,419.7,42475.43,11209.04,12,7,0.0099,0.0374,0
U0183,2597.91,70553.15,6735.05,11,10,0.0368,0.3857,0
U0202,3670.62,32550.79,7863.38,18,19,0.1128,0.4668,0
U0094,1314.57,43964.18,9819.44,10,9,0.0299,0.1339,0
U0175,2874.49,22979.59,11463.17,8,16,0.1251,0.2508,0
U0181,1315.51,18722.65,6190.81,12,8,0.0703,0.2125,0
U0062,2148.6,40560.77,7418.94,8,5,0.053,0.2896,0
U0162,877.16,86166.16,1743.88,9,15,0.0102,0.503,0
U0145,986.94,53154.04,8627.36,4,20,0.0186,0.1144,0
U0244,1251.03,60714.79,6480.61,13,4,0.0206,0.193,0
U0171,1289.99,31862.87,7119.83,11,8,0.0405,0.1812,0
U0229,160539.27,21052.37,337.05,10,13,7.6257,476.3092,1
U0200,1043.08,8043.28,10498.35,13,0,0.1297,0.0994,0
U0239,653.7,35713.78,3090.74,14,10,0.0183,0.2115,0
U0095,504.16,8965.29,10527.7,11,20,0.0562,0.0479,0
U0132,2196.72,13720.81,3632.75,13,17,0.1601,0.6047,0
U0139,3025.95,24288.91,11981.73,13,5,0.1246,0.2525,0
U0203,798.21,10577.27,5699.53,16,6,0.0755,0.14,0
U0081,2029.12,41232.87,6086.44,6,2,0.0492,0.3334,0
U0082,806.27,28675.44,1029.24,10,1,0.0281,0.7834,0
U0154,681.67,62564.71,7762.46,14,5,0.0109,0.0878,0
U0075,2045.15,35020.17,7620.64,8,13,0.0584,0.2684,0
U0140,743.14,50687.98,2019.91,12,13,0.0147,0.3679,0
U0166,1065.14,26923.16,3957.81,6,14,0.0396,0.2691,0
U0118,1507.6,70819.0,9751.52,12,0,0.0213,0.1546,0
U0128,766.55,34237.74,6239.47,10,12,0.0224,0.1229,0
U0013,1391.67,72790.95,9495.83,12,5,0.0191,0.1466,0
U0106,2194.6,20756.71,6180.46,16,6,0.1057,0.3551,0
U0079,861.67,85232.9,2290.04,9,15,0.0101,0.3763,0
U0089,98374.73,83538.2,3214.38,11,16,1.1776,30.6046,1
U0113,142066.4,23237.57,14178.75,5,11,6.1137,10.0197,1
U0164,1699.08,87983.61,4673.85,9,0,0.0193,0.3635,0
U0202,95796.4,95096.27,13477.27,7,42,1.0074,7.108,1
U0007,657.11,47633.78,2194.3,8,20,0.0138,0.2995,0
U0056,787.47,16452.46,10018.88,13,20,0.0479,0.0786,0
U0135,1201.99,74665.86,11253.3,11,9,0.0161,0.1068,0
U0193,778.61,64145.15,1620.41,9,15,0.0121,0.4805,0
U0142,947.61,63622.78,11210.3,7,7,0.0149,0.0845,0
U0226,1014.55,21236.98,1286.4,15,16,0.0478,0.7887,0
U0140,1387.95,57302.25,4631.04,7,17,0.0242,0.2997,0
U0033,669.32,33585.35,5385.44,3,13,0.0199,0.1243,0
U0184,1918.28,19746.97,5412.61,12,12,0.0971,0.3544,0
U0148,842.25,66690.12,11856.2,10,15,0.0126,0.071,0
U0223,417.12,73182.06,11917.83,10,0,0.0057,0.035,0
U0209,569.17,89830.5,8426.73,12,19,0.0063,0.0675,0
U0045,828.39,34430.51,2221.47,10,20,0.0241,0.3729,0
U0115,1192.76,50994.28,1484.73,13,10,0.0234,0.8033,0
U0065,1203.48,81044.99,7260.88,10,8,0.0148,0.1657,0
U0097,730.08,20329.17,5354.32,23,10,0.0359,0.1364,0
U0233,2030.66,22202.91,5433.76,7,9,0.0915,0.3737,0
U0072,940.81,61390.5,3295.79,5,14,0.0153,0.2855,0
U0119,940.36,31593.02,7271.33,10,4,0.0298,0.1293,0
U0165,1011.01,24092.4,529.09,7,7,0.042,1.9109,0
U0093,1702.84,58968.78,7301.05,9,20,0.0289,0.2332,0
U0083,2831.06,20589.52,9806.83,16,2,0.1375,0.2887,0
U0183,2788.51,77976.78,8360.33,9,2,0.0358,0.3335,0
U0185,845.92,77489.1,1001.99,10,15,0.0109,0.8442,0
U0121,1635.9,57774.0,9735.67,6,4,0.0283,0.168,0
U0022,860.96,83340.78,5397.81,14,20,0.0103,0.1595,0
U0161,978.5,78428.04,7016.51,13,2,0.0125,0.1395,0
U0104,3697.64,62986.81,7088.43,15,2,0.0587,0.5216,0
U0043,578.2,20504.2,8892.6,13,17,0.0282,0.065,0
U0018,1720.9,72554.93,2221.17,15,8,0.0237,0.7748,0
U0111,844.24,56028.4,5138.57,8,6,0.0151,0.1643,0
U0010,1484.9,29004.34,6846.3,15,6,0.0512,0.2169,0
U0029,940.55,27220.38,10987.52,8,4,0.0346,0.0856,0
U0202,1619.57,44890.37,9395.18,13,2,0.0361,0.1724,0
U0100,1902.65,70792.4,3170.43,17,18,0.0269,0.6001,0
U0034,1383.24,49022.51,3704.13,8,13,0.0282,0.3734,0
U0186,783.81,73745.18,1268.81,10,4,0.0106,0.6178,0
U0050,6582.66,39366.71,4200.2,14,20,0.1672,1.5672,0
U0140,3525.19,9500.22,6787.65,10,0,0.3711,0.5194,0
U0043,729.97,53694.82,7496.99,7,4,0.0136,0.0974,0
U0020,1829.46,51283.66,8391.64,8,7,0.0357,0.218,0
U0069,1937.23,76840.45,7723.91,12,15,0.0252,0.2508,0
U0029,1521.75,23636.9,7679.1,10,11,0.0644,0.1982,0
U0092,1308.49,58286.11,10760.65,16,7,0.0224,0.1216,0
U0053,1406.6,39097.95,6753.01,10,0,0.036,0.2083,0
U0054,4034.72,87093.84,9180.67,13,16,0.0463,0.4395,0
U0005,1152.71,12741.42,9072.44,10,20,0.0905,0.1271,0
U0082,516.94,83787.62,10890.21,13,0,0.0062,0.0475,0
U0232,3201.1,20623.85,2716.67,6,15,0.1552,1.1783,0
U0016,203791.16,92493.6,1783.57,12,40,2.2033,114.2602,1
U0127,1198.02,83054.17,1671.0,8,1,0.0144,0.7169,0
U0076,1021.57,56562.97,8035.72,13,18,0.0181,0.1271,0
U0238,991.69,19224.16,7125.6,8,18,0.0516,0.1392,0
U0227,230116.99,9657.77,12108.03,10,26,23.8271,19.0053,1
U0197,2015.99,30951.32,9633.69,13,4,0.0651,0.2093,0
U0104,1748.83,56450.41,11444.95,12,8,0.031,0.1528,0
U0061,1134.56,70171.3,1943.3,16,10,0.0162,0.5838,0
U0146,1046.38,54921.51,3318.55,11,2,0.0191,0.3153,0
U0118,1071.98,69635.52,4097.32,12,6,0.0154,0.2616,0
U0050,1029.93,44543.28,1392.08,8,9,0.0231,0.7399,0
U0008,748.25,66746.01,7511.74,8,11,0.0112,0.0996,0
U0126,789.84,75949.45,6358.57,9,12,0.0104,0.1242,0
U0172,886.45,72827.34,8518.27,13,11,0.0122,0.1041,0
U0203,2885.8,48659.94,1740.12,10,4,0.0593,1.6584,0
U0056,2290.64,47165.74,6489.96,10,9,0.0486,0.353,0
U0094,1411.04,62112.14,2681.81,5,8,0.0227,0.5262,0
U0081,1364.06,70973.04,5486.28,8,1,0.0192,0.2486,0
U0133,2583.58,25673.24,5037.3,15,3,0.1006,0.5129,0
U0239,181508.11,30809.07,1825.48,8,23,5.8914,99.4303,1
U0194,1193.32,22916.97,7222.85,4,2,0.0521,0.1652,0
U0021,1398.94,58118.71,11848.49,11,18,0.0241,0.1181,0
U0018,621.89,12626.49,11719.76,9,6,0.0493,0.0531,0
U0227,721.26,22896.45,11570.03,15,18,0.0315,0.0623,0
U0187,910.65,88730.21,1738.27,9,1,0.0103,0.5239,0
U0174,1423.33,66145.38,4586.07,8,13,0.0215,0.3104,0
U0170,3827.03,71406.04,11838.31,6,16,0.0536,0.3233,0
U0144,1245.25,79469.07,784.21,6,20,0.0157,1.5879,0
U0050,1991.73,83370.08,4722.94,18,16,0.0239,0.4217,0
U0037,897.78,40759.74,9141.47,10,5,0.022,0.0982,0
U0206,987.65,39132.12,1992.22,7,15,0.0252,0.4958,0
U0217,149990.39,37378.64,5547.41,6,9,4.0127,27.0379,1
U0178,1347.24,41838.78,2789.29,16,8,0.0322,0.483,0
U0139,979.19,82946.81,6433.89,11,0,0.0118,0.1522,0
U0177,711.68,17892.83,6488.74,12,5,0.0398,0.1097,0
U0242,206423.35,33876.73,5539.62,10,39,6.0934,37.2631,1
U0162,2654.53,33512.17,10666.88,9,5,0.0792,0.2489,0
U0245,6805.11,18562.03,10113.97,9,20,0.3666,0.6728,0
U0194,2232.53,61299.98,8195.99,6,1,0.0364,0.2724,0
U0147,1037.47,77417.15,617.78,8,15,0.0134,1.6794,0
U0151,860.78,60148.86,8219.04,13,3,0.0143,0.1047,0
U0114,1801.92,64330.92,11104.47,9,2,0.028,0.1623,0
U0104,2121.75,51455.54,3124.44,7,2,0.0412,0.6791,0
U0203,668.92,76424.94,3605.8,14,1,0.0088,0.1855,0
U0170,588.16,41396.78,9097.44,12,20,0.0142,0.0647,0
U0214,2669.49,12081.19,2119.95,9,15,0.221,1.2592,0
U0209,1722.52,29718.61,2437.63,5,17,0.058,0.7066,0
U0139,2534.71,14211.2,6459.95,5,18,0.1784,0.3924,0
U0040,1893.95,89656.93,2999.13,9,5,0.0211,0.6315,0
U0237,484.51,17996.43,7739.83,8,11,0.0269,0.0626,0
U0110,2798.88,66824.79,2110.51,11,15,0.0419,1.3262,0
U0100,3406.64,53335.6,2951.59,12,17,0.0639,1.1542,0
U0225,6667.97,64368.29,4155.94,10,4,0.1036,1.6044,0
U0147,1031.28,8441.49,4138.93,8,14,0.1222,0.2492,0
U0039,1543.98,60900.86,1538.76,17,0,0.0254,1.0034,0
U0175,903.51,46637.12,2415.04,4,16,0.0194,0.3741,0
U0152,1969.41,13419.48,2714.95,15,2,0.1468,0.7254,0
U0131,483.94,75060.62,10619.06,12,4,0.0064,0.0456,0
U0190,3027.83,22377.8,3751.18,7,8,0.1353,0.8072,0
U0189,143595.53,38311.18,7805.89,6,12,3.7481,18.3958,1
U0085,1601.0,46466.82,7086.79,10,5,0.0345,0.2259,0
U0244,860.1,51930.42,3369.77,13,16,0.0166,0.2552,0
U0014,862.73,14783.01,5121.74,13,20,0.0584,0.1684,0
U0244,2907.22,55204.53,11656.61,8,20,0.0527,0.2494,0
U0081,1394.24,20221.63,7103.68,8,3,0.0689,0.1963,0
U0047,615.87,75777.73,2202.73,15,19,0.0081,0.2796,0
U0238,1078.81,74366.06,3037.77,9,6,0.0145,0.3551,0
U0127,630.24,72964.36,6491.04,11,13,0.0086,0.0971,0
U0127,1100.69,83839.45,8824.27,8,12,0.0131,0.1247,0
U0207,1280.4,77320.0,7845.79,12,13,0.0166,0.1632,0
U0106,2337.51,11239.59,1999.73,11,0,0.208,1.1689,0
U0143,709.91,16552.89,9101.17,8,12,0.0429,0.078,0
U0062,1353.84,18659.73,3307.62,7,19,0.0726,0.4093,0
U0088,888.7,50590.0,8080.21,14,15,0.0176,0.11,0
U0003,3282.02,87301.13,2236.5,3,13,0.0376,1.4675,0
U0105,567.3,22954.05,3135.1,9,0,0.0247,0.181,0
U0016,98026.49,63952.87,8751.24,9,0,1.5328,11.2014,1
U0020,219107.38,30486.6,10709.3,3,40,7.187,20.4595,1
U0027,2016.54,70458.31,6571.81,10,12,0.0286,0.3068,0
U0047,1014.21,40044.73,3486.59,10,11,0.0253,0.2909,0
U0084,580.05,78511.78,3198.91,14,15,0.0074,0.1813,0
U0209,1241.6,54295.18,1467.52,9,12,0.0229,0.8461,0
U0110,1527.74,35969.88,3670.61,6,11,0.0425,0.4162,0
U0056,5828.38,39677.75,5383.36,12,4,0.1469,1.0827,0
U0145,48251.42,14649.85,8557.17,8,23,3.2936,5.6387,1
U0055,1545.08,48058.62,9931.69,6,19,0.0322,0.1556,0
U0058,25530.38,84379.4,8780.59,11,40,0.3026,2.9076,1
U0203,832.79,53221.12,503.58,9,17,0.0156,1.6538,0
U0107,61265.41,64449.95,7934.87,6,37,0.9506,7.721,1
U0239,1348.43,16238.17,10407.54,9,5,0.083,0.1296,0
U0053,2345.75,76782.11,10147.71,11,15,0.0306,0.2312,0
U0014,739.34,47171.52,2546.11,18,11,0.0157,0.2904,0
U0118,1065.76,18818.87,5860.03,13,10,0.0566,0.1819,0
U0035,3178.79,59114.27,8741.37,6,12,0.0538,0.3636,0
U0123,125631.48,41975.28,12515.01,10,14,2.993,10.0385,1
U0202,1073.92,11905.84,7036.48,16,10,0.0902,0.1526,0
U0192,1159.92,73782.36,973.24,12,15,0.0157,1.1918,0
U0170,1489.79,78906.13,1227.86,11,11,0.0189,1.2133,0
U0002,2170.47,30647.93,3114.74,7,16,0.0708,0.6968,0
U0186,149826.56,94661.17,9371.77,7,39,1.5828,15.987,1
U0053,1190.45,65708.72,9967.51,8,9,0.0181,0.1194,0
U0021,992.59,37259.8,8074.5,4,19,0.0266,0.1229,0
U0110,1045.66,38012.59,5777.54,8,15,0.0275,0.181,0
U0150,708.02,87973.76,4715.72,9,17,0.008,0.1501,0
U0062,1029.11,64517.74,10038.92,5,2,0.016,0.1025,0
U0224,721.55,31995.57,3719.79,7,14,0.0226,0.194,0
U0148,2060.35,41091.89,4690.74,6,19,0.0501,0.4392,0
U0050,85933.78,93228.43,10800.42,9,0,0.9218,7.9565,1
U0117,1375.14,67162.12,4558.19,8,16,0.0205,0.3017,0
U0036,1508.14,26149.1,6155.54,9,17,0.0577,0.245,0
U0017,905.66,32313.66,4452.63,10,4,0.028,0.2034,0
U0224,597.32,44592.13,1968.44,5,4,0.0134,0.3034,0
U0101,1146.57,89238.94,1292.25,12,9,0.0128,0.8873,0
U0119,2634.34,69718.59,10473.64,5,3,0.0378,0.2515,0
U0221,1167.47,17539.53,6835.2,12,0,0.0666,0.1708,0
U0171,904.81,87119.24,2605.3,5,5,0.0104,0.3473,0
U0189,1458.26,39967.09,9286.09,7,2,0.0365,0.157,0
U0213,1942.43,86260.58,4711.26,5,15,0.0225,0.4123,0
U0163,1505.28,72413.07,5293.81,8,17,0.0208,0.2843,0
U0165,2739.23,21590.71,6925.69,8,7,0.1269,0.3955,0
U0027,901.67,40787.92,11836.47,8,5,0.0221,0.0762,0
U0180,363.58,42670.04,7537.93,8,3,0.0085,0.0482,0
U0070,1445.23,37344.02,5163.82,8,3,0.0387,0.2799,0
U0180,1533.18,29602.21,8816.56,14,2,0.0518,0.1739,0
U0061,718.52,34609.65,5215.94,10,19,0.0208,0.1378,0
U0033,29624.77,47227.04,6663.06,7,12,0.6273,4.4461,1
U0133,834.77,76958.22,4266.88,8,15,0.0108,0.1956,0
U0042,930.16,49645.43,4139.72,13,19,0.0187,0.2247,0
U0029,2502.84,56325.45,9018.65,11,19,0.0444,0.2775,0
U0228,1123.41,10834.02,4673.13,15,13,0.1037,0.2404,0
U0053,652.68,69409.44,4101.34,16,9,0.0094,0.1591,0
U0141,777.11,15757.08,1753.88,6,1,0.0493,0.4431,0
U0019,401.8,14366.57,929.48,6,11,0.028,0.4323,0
U0143,1115.69,87487.36,11185.24,9,8,0.0128,0.0997,0
U0112,116838.65,67129.81,3498.83,7,27,1.7405,33.3936,1
U0032,2204.16,19113.83,1904.09,9,14,0.1153,1.1576,0
U0222,1054.69,24687.68,6491.02,10,7,0.0427,0.1625,0
U0111,2623.8,45444.87,11555.34,11,12,0.0577,0.2271,0
U0103,2317.57,72564.99,10567.47,11,2,0.0319,0.2193,0
U0070,740.31,72547.11,7707.98,15,16,0.0102,0.096,0
U0203,1017.69,61009.49,2485.76,9,10,0.0167,0.4094,0
U0213,3316.89,26238.61,3220.39,11,6,0.1264,1.03,0
U0093,2371.62,81639.73,1511.23,13,12,0.029,1.5693,0
U0141,1692.01,30187.62,7831.99,17,15,0.056,0.216,0
U0063,1677.92,64342.99,708.14,13,16,0.0261,2.3695,0
