user_id,month_index,previous_month_spend,spend_2_months_ago,spend_3_months_ago,avg_3_month_spend,purchase_count,avg_purchase_amount,online_purchase_ratio,electronics_spend,fashion_spend,food_spend,home_spend,other_spend,next_month_spend
U0154,15,46334.8,44958.54,47271.3,46188.21,12,3304.68,0.558,5614.34,1684.58,2031.59,23546.77,13457.53,40601.81
U0162,14,9534.17,9347.16,8439.69,9107.01,15,722.9,0.558,545.97,453.39,3154.55,2114.96,3265.31,7714.89
U0128,5,3369.82,3333.38,3472.83,3392.01,13,271.15,0.886,517.72,184.61,808.18,282.96,1576.35,2586.31
U0119,18,3339.13,3006.74,3497.38,3281.08,10,319.19,0.406,893.42,1121.71,185.75,899.39,238.86,2315.52
U0176,23,3629.74,3731.39,3606.96,3656.03,10,352.34,0.637,796.35,174.43,184.32,1198.55,1276.09,3544.09
U0098,19,13380.37,14405.32,14990.39,14258.69,11,1148.82,0.627,2887.58,1341.06,2160.15,3224.88,3766.7,13648.94
U0014,17,35580.76,35880.95,29256.53,33572.74,11,3261.27,0.606,4920.03,2452.4,5481.79,11912.71,10813.83,29853.5
U0134,20,8522.34,9604.68,9639.88,9255.64,12,664.71,0.878,3365.97,3136.78,177.14,601.3,1241.15,7910.0
U0050,23,61990.56,58444.5,55663.42,58699.49,15,4200.22,0.335,5088.61,10919.38,17927.78,23760.37,4294.42,56776.5
U0118,9,5415.86,6013.66,5727.95,5719.16,9,691.06,0.559,906.38,2316.56,432.79,257.13,1503.0,4908.27
U0024,9,24402.84,23786.0,26829.52,25006.12,7,3997.8,0.836,5639.36,3121.53,399.11,10434.3,4808.53,24634.5
U0049,6,5443.12,5047.71,5330.24,5273.69,18,327.06,0.73,417.53,807.65,569.03,553.33,3095.58,5095.51
U0100,4,11411.85,10530.36,9823.13,10588.45,12,913.49,0.569,4275.23,800.76,992.97,2395.63,2947.27,9559.31
U0229,12,7906.54,8222.97,9354.6,8494.7,10,876.47,0.272,2015.51,1137.33,577.53,1128.36,3047.82,8334.74
U0060,13,8450.39,7744.25,7890.08,8028.24,6,1575.1,0.478,3200.85,1762.74,2481.83,311.3,693.67,6827.98
U0183,13,14339.28,13082.42,14434.26,13951.99,6,2090.77,0.762,2508.66,3036.7,3722.28,2066.02,3005.62,14011.96
U0056,10,6821.6,6375.95,6488.99,6562.18,8,976.76,0.486,1877.72,1820.05,712.4,1800.16,611.26,7245.68
U0240,10,12107.15,10698.46,10430.82,11078.81,11,1162.54,0.822,99.4,1260.9,3273.05,4081.41,3392.4,8682.16
U0009,21,28206.42,28373.42,26543.98,27707.94,6,4416.01,0.368,2998.8,205.4,5306.11,7463.93,12232.18,27264.29
U0073,23,3880.64,4312.32,4742.65,4311.87,11,369.71,0.32,1097.42,497.73,840.48,200.76,1244.25,3209.98
U0074,18,4898.2,5149.1,4869.61,4972.31,8,653.79,0.749,1319.12,682.31,1571.66,465.23,859.89,4182.93
U0034,8,999.17,974.92,1050.45,1008.18,14,100.0,0.564,187.53,24.68,190.54,435.3,161.12,762.43
U0159,16,3394.71,3591.07,3282.25,3422.67,5,654.53,0.479,1613.29,844.06,78.53,520.35,338.49,2405.12
U0164,22,10117.83,9496.8,8537.73,9384.12,7,1452.7,0.67,464.11,3389.56,535.31,2765.18,2963.67,8231.52
U0194,16,3459.88,3022.84,3498.35,3327.03,11,329.91,0.493,924.15,35.55,739.55,663.29,1097.35,2861.23
U0054,14,11427.87,12075.05,10877.11,11460.01,11,1045.73,0.373,4047.79,2719.23,452.67,2629.13,1579.05,11458.2
U0177,4,8048.8,7812.71,7566.68,7809.4,4,2178.12,0.326,2147.18,1025.12,350.04,1023.85,3502.61,6407.62
U0148,4,21025.69,20778.68,19411.75,20405.38,14,1514.2,0.546,936.84,8002.99,4583.95,2967.77,4534.14,16727.06
U0214,4,5661.41,5451.2,6404.25,5838.95,11,581.47,0.901,1261.75,590.45,1412.39,849.49,1547.33,5636.62
U0110,22,11437.08,10505.29,10094.8,10679.06,8,1258.55,0.596,850.04,656.27,1565.32,4924.53,3440.92,10048.0
U0105,4,2995.36,3280.93,3309.09,3195.13,9,354.64,0.809,701.86,776.4,513.93,550.57,452.59,2757.05
U0229,5,5375.73,4622.47,4328.53,4775.58,6,820.51,0.875,698.85,673.45,2033.51,636.77,1333.14,3704.69
U0199,16,15985.28,14387.8,14364.41,14912.5,18,1018.36,0.557,5942.13,3673.78,1103.61,3788.66,1477.11,13285.55
U0052,16,70877.27,69338.87,68272.14,69496.09,8,7722.61,0.749,2507.94,4731.69,2120.93,57132.6,4384.12,50231.66
U0205,5,6680.37,6355.9,5692.27,6242.85,9,784.78,0.766,441.77,1852.65,957.18,2672.54,756.22,5599.05
U0173,20,14654.97,13483.21,12829.08,13655.75,15,989.32,0.473,1419.35,892.44,976.51,4317.08,7049.59,10048.21
U0088,13,8851.14,8075.64,8413.29,8446.69,3,3362.44,0.755,3795.71,260.73,1955.38,575.6,2263.71,7091.43
U0119,19,16902.16,17840.64,16900.01,17214.27,10,1873.8,0.28,2141.16,2435.29,3974.65,1999.34,6351.71,17682.17
U0068,19,10494.58,10864.95,12872.34,11410.62,9,1007.72,0.114,3446.94,738.37,4453.5,598.51,1257.26,9466.74
U0098,24,4373.39,4631.77,4994.3,4666.49,9,470.72,0.416,933.51,1026.48,333.27,327.2,1752.94,3464.56
U0091,22,54291.22,48675.89,45358.41,49441.84,13,4372.3,0.725,19592.93,1617.12,11070.68,14103.57,7906.92,44313.87
U0092,5,18022.68,18239.16,16482.87,17581.57,9,2014.69,0.745,3394.85,1545.68,5209.34,4718.32,3154.49,17871.11
U0076,11,13848.09,18922.2,19665.13,17478.48,16,961.01,0.65,1026.3,952.42,4431.05,4871.74,2566.59,15589.34
U0172,4,14977.06,12851.2,15362.48,14396.91,8,1726.95,0.283,2028.71,122.83,3680.79,8212.85,931.88,13685.24
U0031,12,23333.05,21570.05,21386.68,22096.6,7,2972.17,0.52,4203.8,11627.25,1273.76,2668.53,3559.73,19116.34
U0128,9,6164.19,5411.49,6288.39,5954.69,13,430.31,0.567,518.18,570.78,3900.5,740.64,434.09,4439.72
U0236,20,15822.14,16265.2,16002.11,16029.82,14,1094.09,0.609,5072.82,2981.56,2922.26,3324.8,1520.71,12773.17
U0202,11,7064.0,7286.68,6561.22,6970.63,13,468.45,0.778,1543.4,263.36,2504.15,527.57,2225.52,6405.56
U0193,13,12852.03,12420.49,15158.89,13477.14,8,1835.74,0.764,5512.02,2824.27,2329.76,607.95,1578.04,12097.99
U0003,19,8175.23,7975.24,9178.7,8443.06,12,730.5,0.431,2196.85,1951.38,2377.03,526.83,1123.14,6827.8
U0111,22,10540.12,11041.04,12821.74,11467.63,9,1028.85,0.902,1006.26,4703.71,397.51,1340.82,3091.82,10171.36
U0081,7,2205.39,2182.03,2443.77,2277.06,7,347.45,0.517,692.94,65.29,664.98,63.74,718.44,2566.0
U0095,5,5972.56,5898.93,6416.13,6095.87,12,477.42,0.44,2122.07,931.83,1436.31,955.88,526.46,5034.96
U0039,19,14722.12,15441.73,15412.67,15192.17,14,1200.6,0.765,1837.62,605.63,5218.24,743.94,6316.68,11360.03
U0235,20,14202.31,13296.21,13821.65,13773.39,10,1529.56,0.635,4847.52,1244.73,2250.04,3756.22,2103.8,12757.17
U0142,14,2816.35,3221.96,2944.88,2994.4,6,519.12,0.531,354.78,461.69,483.7,983.94,532.24,2229.35
U0244,14,14561.69,14165.46,14334.47,14353.87,6,2337.22,0.609,1297.25,4315.85,552.75,4328.31,4067.53,9066.25
U0052,13,2235.26,2572.05,2370.82,2392.71,14,140.44,0.46,698.23,315.43,571.74,309.14,340.72,2173.02
U0117,14,4352.25,4026.13,3893.45,4090.61,12,367.34,0.847,413.0,168.77,14.53,602.91,3153.04,4135.56
U0180,16,7020.94,8187.06,9836.93,8348.31,10,800.25,0.746,1522.84,863.78,1206.67,1494.61,1933.04,6876.91
U0202,9,3802.27,3885.82,4113.98,3934.03,17,204.4,0.244,420.68,879.29,375.15,1049.1,1078.05,3301.99
U0011,6,2248.7,2304.84,2173.63,2242.39,9,261.74,0.357,130.98,524.34,822.77,649.46,121.15,1705.63
U0090,17,4440.13,3884.06,3752.6,4025.59,10,489.42,0.511,1493.9,704.81,1132.34,185.93,923.14,3604.53
U0102,19,3910.78,4109.91,4364.43,4128.37,9,487.77,0.821,1992.29,1147.82,92.79,371.45,306.43,3154.53
U0080,10,2502.18,2675.31,2722.22,2633.24,9,316.51,0.621,616.27,232.83,632.7,586.86,433.51,1805.49
U0028,17,34328.37,26273.23,22486.14,27695.91,3,9751.84,0.506,12427.55,10203.08,1905.82,1699.27,8092.65,22817.08
U0167,10,13626.18,13248.31,14382.52,13752.34,12,1003.64,0.546,1828.55,1709.33,558.7,5976.63,3552.98,11599.21
U0068,6,8564.96,8103.56,8831.32,8499.95,11,724.24,0.743,553.1,1747.87,902.65,2249.62,3111.72,7184.18
U0175,6,7324.89,6365.28,6123.2,6604.46,9,695.73,0.593,130.51,1626.16,314.52,2028.48,3225.22,5928.85
U0249,4,5251.01,5234.96,5914.73,5466.9,13,444.26,0.663,557.57,2281.84,157.43,1475.38,778.79,4697.29
U0224,23,17077.57,20034.66,22423.93,19845.39,10,1765.5,0.471,6904.31,3160.68,2510.84,1044.55,3457.2,14979.99
U0085,4,8978.54,8333.7,10238.29,9183.51,9,1041.11,0.385,2525.32,600.66,365.68,407.16,5079.72,6267.12
U0242,13,14968.75,14159.56,13964.61,14364.3,13,990.87,0.562,4455.0,1644.16,3674.12,2368.9,2826.56,10439.58
U0125,12,16536.25,14184.12,14780.41,15166.92,21,882.22,0.553,1606.73,4909.39,2852.22,1592.7,5575.21,13918.97
U0048,11,23970.99,23621.51,23210.42,23600.97,12,2230.78,0.669,3282.05,11874.7,2813.79,3383.48,2616.98,19782.39
U0084,18,6687.63,6720.27,6199.75,6535.88,7,870.06,0.774,161.79,692.53,813.26,3435.86,1584.19,5355.21
U0237,5,6649.87,6834.17,7036.64,6840.23,8,899.01,0.54,2962.73,1294.45,153.27,953.15,1286.27,6271.44
U0084,19,16639.44,15528.81,14761.33,15643.19,10,1743.54,0.68,2299.91,6139.59,1884.25,1002.29,5313.4,13006.79
U0105,9,23639.54,26006.29,28088.67,25911.5,13,1856.92,0.635,9784.87,491.75,7152.14,4025.17,2185.6,18486.33
U0080,20,9565.79,8954.75,9033.35,9184.63,13,683.57,0.671,1470.45,2501.9,1953.09,1679.99,1960.36,9176.33
U0085,18,32221.43,29468.68,28181.59,29957.23,11,3118.66,0.7,13933.29,2663.75,2515.47,5151.78,7957.14,26534.23
U0091,21,9286.28,8202.66,7725.72,8404.89,11,777.08,0.52,1331.47,60.97,684.14,5030.52,2179.18,6631.14
U0103,6,5835.74,6773.05,6679.89,6429.56,10,670.61,0.83,449.17,1425.27,204.59,1796.67,1960.04,5267.6
U0163,9,2609.93,2782.31,3088.53,2826.92,14,188.66,0.576,1019.82,345.51,820.55,245.1,178.95,2030.21
U0219,18,14976.42,14946.15,17436.5,15786.35,12,1247.42,0.52,2145.13,277.83,3728.89,7248.98,1575.59,12910.01
U0087,13,5149.41,5375.15,6523.48,5682.68,13,366.69,0.333,1684.86,1918.69,13.24,600.06,932.55,4522.38
U0064,9,12408.4,13519.42,14197.85,13375.22,10,1175.49,0.811,6025.06,1317.12,690.5,1087.25,3288.47,11875.71
U0239,8,23052.5,21607.57,21211.48,21957.19,8,2669.56,0.888,448.01,3197.72,9606.26,2028.41,7772.1,16893.47
U0155,20,3566.37,3486.26,3343.51,3465.38,15,216.12,0.686,438.94,794.6,420.99,758.25,1153.59,3096.08
U0041,17,15190.79,14891.9,16653.05,15578.58,8,2017.67,0.635,2825.45,5123.46,1473.25,4171.41,1597.23,12201.19
U0026,5,7195.79,7467.47,7300.51,7321.26,11,686.25,0.571,1096.2,1345.42,1040.1,245.79,3468.27,7556.79
U0077,10,7603.78,6907.97,6050.87,6854.21,9,785.06,0.579,2825.34,455.19,2735.43,411.06,1176.75,6389.21
U0234,8,10777.46,9826.28,9491.32,10031.69,13,845.16,0.713,2805.55,2930.54,1363.94,821.08,2856.36,8687.74
U0010,8,10172.25,9276.54,8781.65,9410.15,9,1253.44,0.698,2454.28,2276.88,624.16,1150.69,3666.24,7788.51
U0200,14,7115.48,6724.58,6710.33,6850.13,8,792.88,0.355,1391.92,426.36,2434.28,1174.3,1688.62,5755.6
U0162,22,29424.16,27303.05,25282.89,27336.7,17,1575.2,0.682,5457.67,2341.07,569.47,6551.71,14504.23,25629.78
U0192,16,5922.05,7287.44,7299.17,6836.22,7,908.44,0.363,1987.75,759.14,716.83,1344.13,1114.21,5336.91
U0121,5,27887.3,31975.83,28661.06,29508.06,10,3105.61,0.596,10298.51,4130.92,2728.24,3813.58,6916.06,25579.97
U0094,12,10474.78,9205.35,9918.15,9866.1,12,789.37,0.267,3555.29,2154.55,1326.93,1701.33,1736.68,8695.15
U0184,6,6672.11,6888.55,6209.08,6589.91,7,970.36,0.618,2307.9,850.51,2145.29,75.87,1292.54,4589.44
U0047,13,7765.68,8319.06,9542.58,8542.44,12,649.12,0.677,2227.23,705.23,888.97,782.7,3161.55,6971.3
U0140,4,8016.1,7723.72,8065.51,7935.11,10,879.44,0.492,3228.75,178.56,537.58,2574.79,1496.42,7513.52
U0147,16,8936.49,9067.22,8412.21,8805.31,7,1127.32,0.677,5300.28,45.08,1357.58,651.0,1582.55,8140.52
U0226,17,5689.58,5447.25,5471.56,5536.13,16,317.42,0.799,1063.02,131.79,2131.79,540.35,1822.63,5397.7
U0043,18,7912.91,8232.21,7756.15,7967.09,6,1259.85,0.735,2659.38,1848.65,1467.75,1298.59,638.54,6295.85
U0246,8,7165.4,7628.23,7992.41,7595.35,9,774.83,0.752,30.6,5013.17,60.68,158.75,1902.2,5374.46
U0047,12,39913.89,39534.31,36924.63,38790.94,14,2823.69,0.259,2252.06,1642.83,21476.35,1928.44,12614.21,33009.62
U0004,4,6511.01,7237.2,6863.58,6870.6,13,537.07,0.469,571.73,1326.75,589.99,201.55,3820.97,5972.44
U0056,15,8200.83,7971.67,6882.18,7684.89,7,1192.55,0.657,1924.26,1424.22,872.08,448.87,3531.39,5237.4
U0192,4,3222.05,3745.37,3668.9,3545.44,10,346.2,0.851,596.32,1060.28,213.76,500.94,850.76,2527.42
U0122,11,6443.12,6257.1,6417.89,6372.71,6,923.25,0.758,389.82,942.91,3557.48,478.16,1074.76,3973.44
U0126,24,10597.43,11622.87,12902.22,11707.51,14,710.13,0.55,2087.1,1904.06,3501.94,1650.9,1453.43,10522.18
U0007,22,9338.17,10484.45,9685.3,9835.97,14,753.21,0.291,1157.27,1175.84,2620.92,1101.9,3282.24,8193.07
U0205,15,16239.16,16684.86,15573.52,16165.85,10,1530.67,0.425,1980.78,994.57,543.0,10960.99,1759.83,10881.97
U0247,19,3860.92,3797.96,3480.43,3713.11,11,347.31,0.804,833.85,265.32,379.97,1350.45,1031.33,3051.07
U0223,14,12768.07,11247.91,9423.43,11146.47,10,1433.54,0.749,4334.43,622.31,2708.03,2659.14,2444.15,11492.97
U0180,14,21806.79,22077.66,22044.2,21976.22,8,2636.2,0.896,2525.69,7206.4,7489.51,1877.85,2707.34,18704.79
U0217,13,47689.31,47699.58,47387.82,47592.24,9,5961.6,0.606,9770.03,8386.56,3655.41,5720.97,20156.34,39740.61
U0068,15,7641.66,7051.71,6580.74,7091.37,10,761.72,0.528,403.39,1355.21,2508.16,493.88,2881.03,6556.77
U0207,8,5116.37,5642.91,4823.44,5194.24,15,338.11,0.573,2650.87,827.76,239.68,469.04,929.02,4575.67
U0030,5,12921.2,12741.72,11985.17,12549.36,9,1440.9,0.771,1440.47,4256.26,3533.88,2550.01,1140.58,10756.27
U0069,19,33983.39,33016.98,30301.13,32433.83,17,1918.45,0.529,12165.34,1191.42,4767.15,5338.13,10521.36,26478.41
U0196,6,15662.59,15226.93,16277.23,15722.25,9,1679.86,0.418,3750.97,2916.23,927.39,5911.19,2156.79,11967.92
U0129,4,17858.61,16180.95,16351.97,16797.18,8,2395.3,0.561,3121.08,2735.58,2888.87,1006.31,8106.77,14659.61
U0048,14,8828.3,8697.24,8286.02,8603.85,13,631.64,0.916,3522.53,198.02,1280.74,1779.35,2047.67,6787.85
U0030,6,12316.68,10315.26,10980.78,11204.24,15,775.11,0.734,1253.26,609.87,2159.57,5574.07,2719.92,9708.57
U0055,13,10270.12,9878.81,11011.71,10386.88,6,1825.57,0.927,1219.33,2327.71,4553.48,970.03,1199.57,7932.0
U0052,10,5822.27,5422.13,4780.32,5341.58,18,368.41,0.544,1735.38,521.81,1455.53,817.71,1291.84,4458.95
U0181,15,14859.72,14327.6,14230.33,14472.55,13,1279.36,0.81,9668.66,2778.48,807.86,639.16,965.56,12294.49
U0084,20,7298.65,7030.66,6867.92,7065.74,13,578.59,0.312,1536.38,281.13,1088.73,3251.21,1141.21,6094.28
U0156,13,6420.26,5774.93,6385.55,6193.58,7,1011.02,0.905,1079.16,873.08,495.69,1529.07,2443.26,5388.17
U0185,22,6510.42,6899.29,6185.37,6531.7,18,404.91,0.965,1176.7,467.84,509.44,1245.16,3111.28,5644.94
U0161,20,8274.26,7940.53,7102.73,7772.51,7,1018.99,0.796,1820.11,3055.66,1124.76,574.77,1698.97,6803.47
U0197,9,12471.01,11533.92,12384.6,12129.84,15,749.52,0.592,2783.86,2055.3,2018.42,1370.98,4242.45,11019.2
U0147,24,12367.66,10317.77,10210.93,10965.45,11,1247.8,0.598,6113.27,1995.39,242.05,2374.22,1642.73,8696.19
U0027,9,6261.46,6795.89,6028.86,6362.07,10,710.31,0.884,1773.1,2498.12,736.15,497.66,756.43,5511.14
U0075,16,13528.82,13545.4,14159.63,13744.62,14,1100.57,0.893,3510.88,3072.24,1660.74,2916.01,2368.94,12675.93
U0090,23,29053.96,27516.08,26131.03,27567.02,16,1692.26,0.783,15684.66,940.45,5552.59,1353.72,5522.54,25348.43
U0054,15,61247.84,60475.56,58818.45,60180.62,11,5576.61,0.507,9950.81,3259.06,4324.68,32799.93,10913.35,61271.18
U0137,18,9318.9,9912.39,9531.57,9587.62,14,653.42,0.768,2036.49,1151.5,3469.14,1912.88,748.89,7214.08
U0086,21,12164.64,14127.31,18094.63,14795.52,7,1959.1,0.794,720.0,1982.98,2274.18,4037.54,3149.94,9981.89
U0002,15,16533.12,18716.1,18587.22,17945.48,13,1212.71,0.799,1157.78,1629.39,5246.48,6543.96,1955.5,15365.26
U0082,14,4478.67,4426.24,4708.36,4537.76,9,529.37,0.792,229.6,1388.92,58.33,1849.73,952.09,4277.33
U0183,8,16917.97,16893.38,17510.64,17107.33,13,1349.31,0.633,3631.8,4108.68,1968.83,3695.15,3513.5,11314.53
U0180,6,8615.56,9351.73,9405.85,9124.38,9,903.92,0.737,1032.73,942.76,1583.33,1571.44,3485.28,7742.59
U0129,13,11587.87,12502.9,14583.74,12891.51,7,1502.75,0.619,1293.2,4652.56,1030.69,1870.69,2740.73,9999.09
U0146,6,6063.84,7024.65,6451.78,6513.42,6,988.77,0.646,1334.1,1793.89,216.93,630.24,2088.68,6222.5
U0074,4,10088.85,8906.19,7211.59,8735.55,11,815.11,0.605,2032.49,1371.86,706.32,4265.54,1712.64,10025.75
U0198,21,9497.11,8537.44,7962.82,8665.79,9,1047.01,0.622,2049.93,2889.95,3026.04,705.75,825.44,6835.87
U0059,22,4109.84,3671.76,3546.36,3775.99,15,261.42,0.856,1416.94,1052.87,342.7,636.97,660.35,2786.66
U0045,19,26351.3,25044.34,24378.8,25258.15,10,2547.25,0.817,4533.54,609.73,1952.0,587.81,18668.2,25902.91
U0164,22,8232.96,7285.63,6838.37,7452.32,11,726.42,0.813,3588.15,2682.29,831.38,633.92,497.23,6485.59
U0026,12,4062.34,4626.32,4143.48,4277.38,9,391.16,0.436,1540.93,497.29,995.66,693.26,335.2,4074.36
U0059,20,6190.43,6634.5,5509.69,6111.54,5,1339.03,0.885,687.55,1769.44,1222.29,1035.33,1475.82,5379.52
U0216,10,6622.56,6435.91,6641.87,6566.78,7,1034.18,0.497,1866.03,607.28,716.85,1299.52,2132.89,6590.94
U0028,23,19148.93,19355.07,18852.77,19118.92,17,1294.98,0.662,2618.4,1590.01,5862.42,8134.2,943.9,16747.94
U0074,13,17086.02,13979.04,16824.69,15963.25,8,2440.49,0.82,2876.69,1955.35,2679.18,5236.22,4338.58,11265.64
U0032,17,6551.6,7362.45,7607.88,7173.98,13,467.08,0.735,694.51,1545.67,267.29,909.84,3134.29,5721.16
U0198,14,7584.23,7575.6,6863.2,7341.01,11,614.23,0.386,3232.3,364.58,716.36,1176.38,2094.61,6500.76
U0164,18,5153.4,4902.67,4777.46,4944.51,15,358.65,0.968,1214.79,398.35,1429.25,521.52,1589.49,4346.19
U0046,18,8803.87,8664.1,8430.76,8632.91,8,947.48,0.735,2267.53,3496.02,1152.41,1225.15,662.76,6878.02
U0119,10,9407.02,8430.6,7671.84,8503.15,11,831.45,0.519,2779.45,2040.7,2113.64,437.27,2035.96,6464.1
U0025,8,8796.41,8003.55,7477.8,8092.59,12,694.68,0.747,3451.67,912.55,1218.19,525.32,2688.67,7524.74
U0143,20,8295.82,8894.09,9826.55,9005.49,13,647.28,0.187,334.06,3189.8,1527.35,414.97,2829.64,7196.94
U0077,7,5212.06,5117.55,4954.34,5094.65,11,434.52,0.58,387.1,593.91,187.11,1566.34,2477.61,3985.84
U0220,21,2011.35,1920.2,1783.03,1904.86,7,284.29,0.62,677.49,56.83,328.93,410.3,537.8,2233.78
U0118,18,7247.46,6555.58,6814.86,6872.63,7,1044.62,0.773,1943.1,1594.27,1463.29,1485.64,761.16,5249.38
U0199,19,31636.97,29377.25,28666.5,29893.58,8,3392.31,0.778,11811.05,5789.5,5010.21,3050.42,5975.79,28719.99
U0063,18,8259.73,8689.27,8779.11,8576.04,17,554.0,0.756,3425.07,528.63,1780.2,1454.5,1071.33,7345.89
U0042,8,5447.71,4661.2,4378.75,4829.22,13,450.91,0.845,1430.86,112.54,1193.79,1167.83,1542.68,4380.31
U0015,7,4615.1,4936.35,4419.99,4657.15,17,305.11,0.763,1497.82,1551.32,289.81,1051.18,224.97,3672.81
U0150,22,2893.93,3134.78,3117.97,3048.89,12,212.34,0.545,772.66,1198.4,351.47,89.2,482.21,2579.03
U0155,24,16529.87,15937.67,14407.0,15624.85,5,3157.14,0.732,514.92,1110.62,5102.43,5800.86,4001.06,13717.45
U0145,15,10247.14,9932.57,9663.7,9947.8,18,558.33,0.673,3915.76,1666.88,660.45,3107.64,896.4,8031.54
U0079,6,10091.03,9433.32,9598.81,9707.72,10,928.72,0.443,2706.22,1050.17,837.34,161.27,5336.04,9719.77
U0245,22,13000.88,12073.48,11054.4,12042.92,12,968.71,0.236,3342.27,1164.79,2427.89,2185.06,3880.87,10248.11
U0014,16,5868.88,6516.35,6156.95,6180.72,7,857.76,0.876,250.74,1431.71,1178.3,499.91,2508.22,5662.3
U0050,16,10574.27,10393.51,10095.25,10354.34,8,1282.31,0.638,534.1,3113.33,3271.71,1811.64,1843.49,8337.33
U0168,16,3104.51,4096.47,4019.98,3740.32,21,167.83,0.533,1192.63,263.17,503.04,302.04,843.62,3058.09
U0127,15,30930.6,30161.11,30701.02,30597.58,13,2184.99,0.527,6335.77,5523.11,688.99,7369.14,11013.59,27921.11
U0162,9,11447.61,11691.68,11015.31,11384.86,10,1221.96,0.834,3181.06,194.3,4582.39,973.24,2516.62,11289.59
U0051,6,4879.72,5872.3,5546.63,5432.88,10,481.17,0.239,1180.04,354.62,379.99,353.52,2611.54,4233.91
U0232,8,4377.86,4511.27,4210.64,4366.59,6,771.85,0.71,1160.37,301.75,1946.92,271.36,697.46,4067.34
U0008,11,3754.88,3648.08,3626.86,3676.61,18,197.73,0.459,358.91,898.96,105.18,751.62,1640.21,2924.17
U0043,19,16252.99,17489.25,17972.92,17238.39,7,2386.41,0.442,870.58,1565.31,1583.59,1597.62,10635.89,12393.2
U0148,20,6501.18,6255.42,6254.94,6337.18,11,578.2,0.491,363.09,918.78,2017.92,229.54,2971.84,5364.19
U0141,17,8291.12,8094.59,8994.25,8459.99,12,639.78,0.748,682.16,305.31,2857.81,3569.86,875.96,7565.1
U0048,5,10666.83,10686.33,9286.24,10213.13,8,1181.91,0.587,1798.11,312.31,4761.64,868.4,2926.36,8597.62
U0200,9,15365.58,16127.31,15576.9,15689.93,9,1604.83,0.552,4919.66,661.06,1537.63,1064.01,7183.23,14308.63
