user_id,monthly_spend,purchase_count_per_month,average_purchase_amount,online_purchase_ratio,electronics_spend_ratio,fashion_spend_ratio,food_spend_ratio,home_spend_ratio,other_spend_ratio
U0055,37798.9,12,3149.91,0.852,0.411,0.082,0.199,0.18,0.129
U0056,60722.47,15,4048.16,0.715,0.442,0.103,0.212,0.124,0.12
U0057,7915.93,19,416.63,0.519,0.138,0.082,0.353,0.083,0.345
U0058,7152.62,28,255.45,0.463,0.088,0.061,0.447,0.105,0.298
U0059,27318.71,9,3035.41,0.699,0.521,0.062,0.167,0.139,0.11
U0060,46363.91,13,3566.45,0.671,0.392,0.125,0.22,0.143,0.12
U0061,66854.39,4,16713.6,0.772,0.489,0.081,0.163,0.146,0.12
U0062,27695.36,44,629.44,0.623,0.056,0.138,0.679,0.031,0.097
U0063,42912.5,14,3065.18,0.843,0.1,0.514,0.192,0.074,0.12
U0064,115600.42,18,6422.25,0.815,0.424,0.155,0.063,0.238,0.12
U0065,129936.45,13,9995.11,0.805,0.351,0.141,0.125,0.269,0.114
U0066,19724.73,35,563.56,0.772,0.102,0.128,0.531,0.049,0.19
U0067,144706.07,7,20672.3,0.83,0.295,0.21,0.152,0.142,0.201
U0068,16947.47,21,807.02,0.563,0.128,0.121,0.299,0.148,0.303
U0069,25739.79,29,887.58,0.615,0.044,0.1,0.628,0.108,0.12
U0070,29116.21,48,606.59,0.774,0.074,0.056,0.641,0.074,0.155
U0071,12150.57,54,225.01,0.618,0.084,0.056,0.513,0.066,0.281
U0072,69401.97,5,13880.39,0.564,0.547,0.062,0.184,0.087,0.12
U0073,17791.66,4,4447.92,0.674,0.545,0.093,0.093,0.149,0.12
U0074,41480.67,21,1975.27,0.924,0.112,0.445,0.182,0.14,0.12
U0075,41370.1,9,4596.68,0.884,0.587,0.088,0.137,0.086,0.101
U0076,25550.56,31,824.21,0.49,0.107,0.156,0.452,0.084,0.201
U0077,51683.17,4,12920.79,0.864,0.441,0.034,0.164,0.117,0.244
U0078,16177.26,17,951.6,0.38,0.152,0.185,0.351,0.124,0.189
U0079,89356.02,7,12765.15,0.832,0.563,0.054,0.122,0.142,0.12
U0080,127532.09,17,7501.89,0.776,0.252,0.288,0.166,0.107,0.188
U0081,135383.69,12,11281.97,0.677,0.332,0.231,0.12,0.2,0.117
U0082,15984.24,52,307.39,0.757,0.116,0.145,0.514,0.128,0.097
U0083,57186.85,7,8169.55,0.877,0.537,0.073,0.164,0.106,0.12
U0084,9910.88,12,825.91,0.667,0.092,0.15,0.387,0.156,0.215
U0085,32051.85,22,1456.9,0.77,0.074,0.126,0.584,0.095,0.12
U0086,42801.74,18,2377.87,0.753,0.09,0.425,0.135,0.174,0.175
U0087,17790.29,14,1270.73,0.611,0.181,0.108,0.259,0.104,0.349
U0088,112118.71,17,6595.22,0.729,0.204,0.231,0.156,0.244,0.164
U0089,11883.0,27,440.11,0.357,0.058,0.055,0.39,0.087,0.41
U0090,16003.91,14,1143.14,0.718,0.125,0.152,0.44,0.187,0.095
U0091,159615.79,15,10641.05,0.453,0.234,0.167,0.131,0.264,0.204
U0092,11855.4,29,408.81,0.537,0.119,0.153,0.582,0.026,0.12
U0093,54247.36,12,4520.61,0.732,0.424,0.063,0.159,0.193,0.161
U0094,11965.32,21,569.78,0.352,0.169,0.075,0.272,0.125,0.36
U0095,33603.65,23,1461.03,0.707,0.101,0.574,0.125,0.081,0.12
U0096,36375.81,17,2139.75,0.772,0.119,0.51,0.128,0.13,0.113
U0097,42315.42,5,8463.08,0.755,0.403,0.125,0.217,0.135,0.12
U0098,8244.17,17,484.95,0.586,0.052,0.175,0.433,0.13,0.209
U0099,11028.27,25,441.13,0.545,0.034,0.156,0.58,0.111,0.12
U0100,185341.54,14,13238.68,0.559,0.333,0.19,0.156,0.2,0.12
U0101,27370.6,12,2280.88,0.788,0.543,0.111,0.096,0.13,0.12
U0102,45179.05,18,2509.95,0.936,0.064,0.501,0.183,0.131,0.12
U0103,85603.81,8,10700.48,0.812,0.381,0.252,0.099,0.148,0.12
U0104,169340.9,9,18815.66,0.828,0.322,0.191,0.132,0.235,0.12
U0105,15347.55,10,1534.75,0.887,0.43,0.058,0.177,0.179,0.157
U0106,13888.13,9,1543.13,0.809,0.075,0.528,0.152,0.124,0.12
U0107,114392.97,6,19065.5,0.882,0.32,0.207,0.149,0.204,0.12
U0108,57198.43,11,5199.86,0.82,0.51,0.09,0.188,0.054,0.158
U0109,19902.75,23,865.34,0.817,0.082,0.39,0.242,0.086,0.201
U0110,52141.83,8,6517.73,0.745,0.552,0.046,0.138,0.144,0.12
U0111,18391.45,20,919.57,0.757,0.154,0.467,0.11,0.07,0.198
U0112,12359.59,29,426.19,0.497,0.06,0.098,0.371,0.141,0.33
U0113,5353.29,29,184.6,0.628,0.052,0.051,0.362,0.197,0.337
U0114,7813.0,32,244.16,0.633,0.056,0.127,0.333,0.165,0.319
U0115,172857.17,6,28809.53,0.779,0.26,0.148,0.066,0.293,0.234
U0116,7466.93,19,393.0,0.492,0.163,0.107,0.406,0.161,0.162
U0117,29447.44,36,817.98,0.504,0.106,0.142,0.474,0.139,0.138
U0118,20434.18,36,567.62,0.487,0.058,0.182,0.506,0.105,0.149
U0119,9752.63,30,325.09,0.457,0.099,0.105,0.632,0.077,0.087
U0120,195230.19,15,13015.35,0.48,0.314,0.13,0.177,0.285,0.094
U0121,36777.03,15,2451.8,0.861,0.111,0.491,0.175,0.103,0.12
U0122,169969.39,10,16996.94,0.471,0.411,0.165,0.149,0.121,0.154
U0123,11322.88,26,435.5,0.71,0.078,0.074,0.432,0.191,0.225
U0124,28703.32,42,683.41,0.667,0.048,0.087,0.662,0.109,0.094
U0125,22573.04,23,981.44,0.929,0.114,0.477,0.121,0.169,0.12
U0126,35527.87,5,7105.57,0.564,0.42,0.147,0.186,0.124,0.124
U0127,44787.23,24,1866.13,0.714,0.05,0.463,0.205,0.162,0.12
U0128,43404.75,8,5425.59,0.749,0.125,0.486,0.133,0.136,0.12
U0129,33635.88,20,1681.79,0.923,0.109,0.479,0.137,0.155,0.12
U0130,39464.05,17,2321.41,0.857,0.083,0.384,0.147,0.136,0.251
U0131,25980.93,20,1299.05,0.848,0.06,0.576,0.183,0.061,0.12
U0132,44422.14,14,3173.01,0.936,0.09,0.429,0.185,0.179,0.117
U0133,15549.77,43,361.62,0.55,0.07,0.168,0.583,0.059,0.12
U0134,13070.96,31,421.64,0.397,0.183,0.173,0.406,0.134,0.104
U0135,87542.36,7,12506.05,0.83,0.394,0.108,0.123,0.255,0.12
U0136,58283.27,9,6475.92,0.63,0.467,0.092,0.175,0.147,0.12
U0137,144462.36,18,8025.69,0.827,0.399,0.125,0.166,0.19,0.12
U0138,46675.15,11,4243.2,0.658,0.156,0.427,0.125,0.136,0.155
U0139,12438.38,23,540.8,0.523,0.134,0.19,0.301,0.165,0.211
U0140,20702.55,41,504.94,0.787,0.032,0.082,0.622,0.136,0.128
U0141,55764.22,8,6970.53,0.637,0.373,0.23,0.141,0.136,0.12
U0142,136178.03,9,15130.89,0.83,0.311,0.253,0.137,0.179,0.12
U0143,19342.67,9,2149.19,0.698,0.445,0.13,0.215,0.091,0.12
U0144,19765.6,20,988.28,0.719,0.095,0.178,0.524,0.084,0.12
U0145,52088.75,10,5208.87,0.773,0.333,0.241,0.156,0.15,0.12
U0146,4448.27,29,153.39,0.731,0.073,0.132,0.287,0.168,0.34
U0147,11873.57,33,359.81,0.711,0.192,0.174,0.266,0.143,0.224
U0148,13323.52,13,1024.89,0.884,0.141,0.433,0.167,0.138,0.12
U0149,21921.05,10,2192.1,0.686,0.476,0.042,0.205,0.157,0.12
U0150,132181.53,9,14686.84,0.745,0.405,0.175,0.166,0.135,0.12
U0151,13864.08,28,495.15,0.655,0.126,0.173,0.377,0.148,0.176
U0152,80718.39,5,16143.68,0.897,0.423,0.13,0.211,0.116,0.12
U0153,65633.72,9,7292.64,0.455,0.219,0.275,0.103,0.174,0.229
U0154,17325.89,22,787.54,0.78,0.144,0.105,0.469,0.106,0.176
U0155,103928.54,15,6928.57,0.618,0.43,0.105,0.189,0.182,0.094
U0156,102462.36,17,6027.2,0.499,0.217,0.218,0.17,0.191,0.205
U0157,30967.16,15,2064.48,0.875,0.146,0.457,0.108,0.169,0.12
U0158,103614.98,6,17269.16,0.479,0.386,0.246,0.076,0.172,0.12
U0159,22014.7,29,759.13,0.689,0.12,0.099,0.54,0.121,0.12
U0160,181714.63,6,30285.77,0.482,0.283,0.238,0.148,0.211,0.12
U0161,50065.86,17,2945.05,0.829,0.282,0.282,0.181,0.131,0.124
U0162,202685.85,7,28955.12,0.683,0.2,0.154,0.115,0.125,0.406
U0163,28227.44,42,672.08,0.727,0.085,0.154,0.473,0.054,0.234
U0164,57979.67,6,9663.28,0.708,0.253,0.242,0.123,0.187,0.196
U0165,205287.04,18,11404.84,0.642,0.426,0.215,0.059,0.181,0.12
U0166,190629.81,7,27232.83,0.706,0.316,0.117,0.162,0.277,0.128
U0167,27126.25,5,5425.25,0.826,0.506,0.09,0.17,0.114,0.12
U0168,193538.26,13,14887.56,0.711,0.439,0.26,0.086,0.094,0.12
U0169,10148.36,26,390.32,0.604,0.188,0.172,0.423,0.129,0.088
U0170,43011.93,8,5376.49,0.917,0.154,0.443,0.147,0.136,0.12
U0171,23985.83,13,1845.06,0.771,0.056,0.37,0.168,0.097,0.31
U0172,30029.51,26,1154.98,0.494,0.066,0.119,0.674,0.032,0.109
U0173,116941.6,14,8352.97,0.457,0.208,0.211,0.123,0.103,0.356
U0174,19284.2,7,2754.89,0.633,0.466,0.035,0.111,0.173,0.215
U0175,8082.38,26,310.86,0.608,0.085,0.071,0.613,0.111,0.12
U0176,8723.92,29,300.82,0.715,0.166,0.088,0.315,0.15,0.282
U0177,21667.96,23,942.09,0.828,0.122,0.453,0.145,0.159,0.12
U0178,27952.97,40,698.82,0.776,0.118,0.112,0.55,0.1,0.12
U0179,69862.95,5,13972.59,0.763,0.512,0.089,0.163,0.116,0.12
U0180,13680.82,23,594.82,0.62,0.117,0.565,0.163,0.05,0.105
U0181,17970.7,24,748.78,0.71,0.113,0.182,0.475,0.11,0.12
U0182,39198.75,14,2799.91,0.691,0.486,0.06,0.211,0.155,0.089
U0183,5531.02,13,425.46,0.471,0.083,0.129,0.288,0.153,0.347
U0184,11211.62,32,350.36,0.405,0.07,0.097,0.417,0.059,0.357
U0185,71775.12,10,7177.51,0.505,0.23,0.215,0.172,0.12,0.263
U0186,106981.81,7,15283.12,0.579,0.375,0.204,0.07,0.23,0.12
U0187,31197.21,36,866.59,0.51,0.046,0.066,0.57,0.082,0.237
U0188,44728.4,13,3440.65,0.95,0.173,0.34,0.222,0.145,0.12
U0189,89425.85,15,5961.72,0.886,0.549,0.108,0.166,0.057,0.12
U0190,42369.65,20,2118.48,0.948,0.125,0.416,0.213,0.126,0.12
U0191,41147.41,15,2743.16,0.835,0.538,0.083,0.2,0.059,0.12
U0192,33386.29,9,3709.59,0.758,0.464,0.095,0.15,0.169,0.122
U0193,219976.46,18,12220.91,0.582,0.24,0.126,0.08,0.123,0.43
U0194,31541.03,5,6308.21,0.612,0.56,0.067,0.158,0.096,0.119
U0195,127361.72,8,15920.22,0.621,0.39,0.178,0.097,0.216,0.12
U0196,24119.4,39,618.45,0.526,0.058,0.135,0.652,0.035,0.12
U0197,23248.02,8,2906.0,0.597,0.432,0.083,0.154,0.197,0.134
U0198,71680.69,18,3982.26,0.541,0.411,0.178,0.147,0.168,0.096
U0199,57340.95,5,11468.19,0.876,0.616,0.08,0.155,0.062,0.087
U0200,54458.6,7,7779.8,0.628,0.434,0.076,0.111,0.109,0.27
U0201,85259.86,5,17051.97,0.631,0.376,0.205,0.151,0.148,0.12
U0202,13111.46,25,524.46,0.405,0.173,0.119,0.371,0.184,0.153
U0203,81801.87,10,8180.19,0.599,0.42,0.068,0.206,0.186,0.12
U0204,12005.71,19,631.88,0.707,0.171,0.193,0.323,0.073,0.241
U0205,204769.77,18,11376.1,0.626,0.338,0.169,0.114,0.28,0.098
U0206,34254.04,22,1557.0,0.787,0.052,0.054,0.609,0.115,0.17
U0207,14029.86,31,452.58,0.646,0.106,0.08,0.273,0.085,0.455
U0208,25424.02,47,540.94,0.76,0.034,0.068,0.451,0.089,0.357
U0209,47729.32,9,5303.26,0.789,0.51,0.055,0.147,0.051,0.237
U0210,191005.94,9,21222.88,0.507,0.305,0.155,0.196,0.232,0.112
U0211,45784.21,6,7630.7,0.588,0.481,0.103,0.153,0.143,0.12
U0212,35487.19,9,3943.02,0.613,0.558,0.034,0.19,0.097,0.12
U0213,147455.12,11,13405.01,0.762,0.339,0.153,0.114,0.155,0.239
U0214,156158.64,13,12012.2,0.832,0.427,0.121,0.151,0.18,0.12
U0215,16159.09,22,734.5,0.385,0.17,0.18,0.418,0.099,0.132
U0216,55247.1,16,3452.94,0.552,0.228,0.153,0.057,0.114,0.447
U0217,76619.46,6,12769.91,0.526,0.315,0.241,0.081,0.164,0.199
U0218,57287.05,7,8183.86,0.863,0.472,0.071,0.202,0.135,0.12
U0219,40306.56,12,3358.88,0.624,0.546,0.084,0.124,0.117,0.129
U0220,30264.77,4,7566.19,0.868,0.401,0.097,0.204,0.186,0.112
U0221,9017.89,34,265.23,0.68,0.129,0.089,0.381,0.089,0.313
U0222,8883.85,26,341.69,0.445,0.098,0.107,0.371,0.069,0.355
U0223,14408.69,14,1029.19,0.532,0.096,0.113,0.397,0.112,0.282
U0224,11094.67,33,336.2,0.572,0.094,0.126,0.277,0.161,0.342
U0225,23319.33,12,1943.28,0.732,0.475,0.091,0.187,0.126,0.12
U0226,87735.04,8,10966.88,0.765,0.52,0.136,0.087,0.158,0.099
U0227,25779.46,5,5155.89,0.784,0.54,0.118,0.104,0.118,0.12
U0228,12446.22,25,497.85,0.51,0.151,0.108,0.322,0.178,0.24
U0229,15967.31,29,550.6,0.536,0.101,0.178,0.408,0.1,0.212
U0230,16107.16,26,619.51,0.396,0.132,0.157,0.269,0.102,0.341
U0231,81930.09,17,4819.42,0.675,0.314,0.237,0.056,0.225,0.168
U0232,28842.81,46,627.02,0.7,0.046,0.155,0.587,0.096,0.117
U0233,17108.38,46,371.92,0.792,0.095,0.114,0.523,0.131,0.136
U0234,16623.02,31,536.23,0.432,0.13,0.063,0.563,0.124,0.12
U0235,20755.02,34,610.44,0.613,0.046,0.181,0.617,0.072,0.085
U0236,7402.39,15,493.49,0.46,0.105,0.052,0.325,0.064,0.454
U0237,11243.73,13,864.9,0.458,0.18,0.082,0.263,0.087,0.388
U0238,15585.82,14,1113.27,0.584,0.05,0.121,0.303,0.1,0.426
U0239,151776.73,13,11675.13,0.503,0.253,0.223,0.073,0.164,0.287
U0240,192663.78,17,11333.16,0.53,0.374,0.133,0.121,0.183,0.19
U0241,57030.72,18,3168.37,0.475,0.262,0.181,0.092,0.132,0.333
U0242,21148.08,36,587.45,0.436,0.131,0.077,0.502,0.118,0.172
U0243,12947.78,45,287.73,0.651,0.084,0.14,0.547,0.109,0.12
U0244,8093.86,31,261.09,0.512,0.164,0.146,0.322,0.115,0.253
U0245,13850.72,15,923.38,0.587,0.14,0.085,0.384,0.072,0.319
U0246,96893.16,6,16148.86,0.554,0.3,0.198,0.094,0.162,0.246
U0247,9628.23,26,370.32,0.504,0.12,0.063,0.415,0.068,0.334
U0248,41986.13,16,2624.13,0.739,0.158,0.397,0.199,0.111,0.135
U0249,64173.33,10,6417.33,0.688,0.4,0.036,0.219,0.143,0.202
U0250,43780.57,11,3980.05,0.744,0.097,0.442,0.205,0.134,0.123
U0251,8808.71,21,419.46,0.453,0.028,0.148,0.643,0.061,0.12
U0252,8491.23,24,353.8,0.62,0.147,0.163,0.273,0.128,0.289
U0253,30253.17,16,1890.82,0.863,0.153,0.483,0.175,0.069,0.12
U0254,12641.54,15,842.77,0.533,0.132,0.119,0.33,0.161,0.258
U0255,64207.57,12,5350.63,0.634,0.47,0.136,0.19,0.084,0.12
U0256,179606.27,8,22450.78,0.681,0.283,0.235,0.157,0.206,0.12
U0257,28920.63,24,1205.03,0.682,0.08,0.507,0.199,0.095,0.12
U0258,11381.5,20,569.07,0.644,0.105,0.376,0.244,0.163,0.112
U0259,61556.11,5,12311.22,0.576,0.519,0.059,0.12,0.182,0.12
U0260,13663.21,14,975.94,0.442,0.157,0.184,0.401,0.129,0.129
U0261,67869.1,9,7541.01,0.522,0.437,0.163,0.17,0.109,0.12
U0262,137593.26,6,22932.21,0.527,0.412,0.246,0.112,0.11,0.12
U0263,12055.7,31,388.89,0.377,0.187,0.118,0.301,0.119,0.275
U0264,21000.66,28,750.02,0.441,0.032,0.129,0.598,0.121,0.12
U0265,20818.65,24,867.44,0.715,0.166,0.392,0.145,0.176,0.12
U0266,23485.84,49,479.3,0.496,0.114,0.047,0.61,0.109,0.12
U0267,101302.59,11,9209.33,0.853,0.41,0.185,0.079,0.14,0.186
U0268,59555.58,9,6617.29,0.718,0.529,0.078,0.182,0.092,0.12
U0269,74651.36,10,7465.14,0.846,0.614,0.052,0.143,0.071,0.12
U0270,17221.65,8,2152.71,0.921,0.06,0.501,0.213,0.106,0.12
U0271,48700.81,24,2029.2,0.93,0.162,0.487,0.105,0.149,0.097
U0272,14865.52,27,550.57,0.408,0.081,0.078,0.621,0.1,0.12
U0273,110772.84,11,10070.26,0.507,0.367,0.171,0.102,0.119,0.241
U0274,49154.12,16,3072.13,0.924,0.065,0.481,0.145,0.104,0.204
U0275,14800.8,23,643.51,0.532,0.192,0.164,0.308,0.144,0.192
U0276,12314.61,23,535.42,0.628,0.105,0.159,0.36,0.197,0.179
U0277,16713.28,26,642.82,0.642,0.074,0.198,0.411,0.093,0.224
U0278,70539.32,15,4702.62,0.826,0.466,0.088,0.147,0.165,0.134
U0279,16531.74,28,590.42,0.378,0.15,0.092,0.312,0.101,0.345
U0280,13539.23,47,288.07,0.711,0.119,0.113,0.53,0.119,0.12
U0281,31211.14,50,624.22,0.763,0.059,0.141,0.621,0.06,0.12
U0282,37813.21,4,9453.3,0.602,0.565,0.1,0.113,0.132,0.09
U0283,13051.53,20,652.58,0.476,0.059,0.194,0.411,0.164,0.173
U0284,10871.16,17,639.48,0.663,0.131,0.471,0.2,0.078,0.12
U0285,11098.47,13,853.73,0.729,0.083,0.523,0.194,0.08,0.12
U0286,16093.99,18,894.11,0.648,0.063,0.47,0.112,0.174,0.181
U0287,128731.96,15,8582.13,0.636,0.385,0.141,0.106,0.248,0.12
U0288,30912.13,51,606.12,0.637,0.083,0.084,0.479,0.082,0.272
U0289,25573.43,35,730.67,0.71,0.08,0.092,0.571,0.137,0.12
U0290,4631.27,13,356.25,0.482,0.066,0.115,0.378,0.129,0.312
U0291,11167.06,12,930.59,0.681,0.101,0.444,0.229,0.057,0.169
U0292,8871.95,31,286.19,0.634,0.178,0.115,0.354,0.162,0.19
U0293,7149.28,15,476.62,0.675,0.184,0.147,0.329,0.141,0.2
U0294,12828.73,52,246.71,0.588,0.068,0.071,0.642,0.1,0.12
U0295,23325.3,42,555.36,0.799,0.084,0.154,0.505,0.137,0.12
U0296,14725.85,54,272.7,0.793,0.12,0.188,0.534,0.037,0.12
U0297,14574.25,34,428.65,0.73,0.049,0.156,0.47,0.031,0.294
U0298,11305.39,19,595.02,0.822,0.085,0.387,0.23,0.144,0.154
U0299,6173.6,12,514.47,0.667,0.086,0.095,0.319,0.165,0.335
U0300,7720.39,25,308.82,0.374,0.171,0.052,0.366,0.171,0.239
U0301,16528.08,31,533.16,0.515,0.078,0.182,0.315,0.166,0.258
U0302,33612.29,54,622.45,0.776,0.131,0.113,0.498,0.049,0.208
U0303,46194.48,20,2309.72,0.653,0.133,0.425,0.184,0.138,0.12
U0304,22804.42,16,1425.28,0.799,0.123,0.38,0.14,0.161,0.196
U0305,14581.9,16,911.37,0.394,0.178,0.076,0.394,0.056,0.296
U0306,8645.62,31,278.89,0.473,0.182,0.088,0.368,0.105,0.258
U0307,71411.21,11,6491.93,0.784,0.457,0.108,0.182,0.133,0.12
U0308,21932.86,17,1290.17,0.878,0.127,0.376,0.215,0.162,0.12
U0309,17494.77,16,1093.42,0.462,0.14,0.055,0.271,0.105,0.429
U0310,15255.89,23,663.3,0.495,0.1,0.057,0.45,0.107,0.286
U0311,127075.85,7,18153.69,0.888,0.408,0.277,0.072,0.136,0.106
U0312,45070.74,17,2651.22,0.877,0.083,0.455,0.112,0.184,0.165
U0313,17388.98,31,560.93,0.525,0.101,0.119,0.378,0.115,0.287
U0314,19383.75,28,692.28,0.715,0.134,0.086,0.497,0.071,0.21
U0315,121476.16,14,8676.87,0.678,0.333,0.194,0.14,0.213,0.12
U0316,140051.48,13,10773.19,0.747,0.336,0.208,0.108,0.228,0.12
U0317,13011.83,23,565.73,0.875,0.079,0.509,0.178,0.114,0.12
U0318,105325.16,19,5543.43,0.463,0.378,0.257,0.123,0.121,0.122
U0319,30517.5,48,635.78,0.629,0.046,0.116,0.654,0.085,0.101
U0320,12648.7,31,408.02,0.53,0.102,0.146,0.372,0.102,0.279
U0321,108338.33,8,13542.29,0.681,0.395,0.291,0.096,0.117,0.101
U0322,128002.05,19,6736.95,0.653,0.403,0.258,0.081,0.137,0.12
U0323,10056.75,21,478.89,0.624,0.162,0.102,0.343,0.139,0.254
U0324,12943.91,20,647.2,0.925,0.137,0.409,0.103,0.098,0.254
U0325,60665.12,9,6740.57,0.725,0.414,0.152,0.083,0.265,0.085
U0326,44279.19,5,8855.84,0.863,0.423,0.079,0.212,0.124,0.162
U0327,34084.19,47,725.2,0.499,0.111,0.123,0.499,0.087,0.181
U0328,30879.84,36,857.77,0.405,0.037,0.116,0.628,0.136,0.083
U0329,216933.46,14,15495.25,0.465,0.287,0.19,0.16,0.109,0.254
U0330,73592.3,11,6690.21,0.728,0.596,0.065,0.134,0.108,0.097
U0331,20983.77,20,1049.19,0.622,0.109,0.379,0.163,0.051,0.297
U0332,76364.17,5,15272.83,0.689,0.335,0.217,0.084,0.142,0.222
U0333,85647.33,11,7786.12,0.84,0.56,0.086,0.108,0.126,0.12
U0334,19634.68,47,417.76,0.412,0.106,0.144,0.47,0.079,0.2
U0335,202794.15,14,14485.3,0.827,0.266,0.268,0.085,0.254,0.127
U0336,142169.99,8,17771.25,0.848,0.434,0.114,0.065,0.267,0.12
U0337,193443.35,13,14880.26,0.6,0.404,0.18,0.082,0.132,0.201
U0338,82747.14,9,9194.13,0.543,0.44,0.138,0.117,0.186,0.12
U0339,20190.1,35,576.86,0.755,0.035,0.175,0.484,0.113,0.192
U0340,36423.75,15,2428.25,0.609,0.647,0.053,0.114,0.066,0.12
U0341,27652.03,48,576.08,0.423,0.031,0.122,0.606,0.121,0.12
U0342,131306.4,7,18758.06,0.802,0.484,0.219,0.074,0.113,0.11
U0343,14457.77,46,314.3,0.476,0.089,0.11,0.512,0.059,0.23
U0344,7327.44,26,281.82,0.71,0.132,0.102,0.254,0.123,0.389
U0345,107110.83,7,15301.55,0.62,0.395,0.197,0.051,0.238,0.12
U0346,27633.63,8,3454.2,0.84,0.546,0.055,0.167,0.132,0.1
U0347,219479.23,15,14631.95,0.519,0.213,0.207,0.196,0.242,0.142
U0348,16238.84,54,300.72,0.61,0.1,0.086,0.685,0.045,0.085
U0349,135339.87,6,22556.65,0.698,0.207,0.182,0.163,0.291,0.157
